,mean,std,min,max
human_scale,0.2774580134980688,0.006153192142228757,0.2731070496083551,0.28180897738778254
human_binary,0.5205976473399685,0.04362596659628434,0.48974943052391795,0.5514458641560189
llm_scale,0.05469099343893015,0.13148516999449936,-0.33333333333333326,0.677838221423719
llm_binary,0.14405900407219588,0.2349999728987752,-0.5,1.0
