corpus,language,collection,AvgFan,MaxFan,AvgMaxDepth,AvgDepDist,MaxDepDist,AvgOutdegreeCentralization,AvgClosenessCentralization
cq,German,,2.1122487056299266,58.0,3.986361926260346,1.9049210124040468,24.5,0.532306133300634,0.4049298300062912
general,German,,2.1190142817138056,90.0,4.188460968013052,2.030212502630047,42.22580645161289,0.66389842768861,0.3936180829770295
human,German,,2.152168334616372,11.0,2.9670419651995905,1.342803103938372,5.583333333333335,0.5063101247070025,0.4634639347504798
human_cq,German,,2.139819115130775,10.0,3.173014848289218,1.4489313683866336,5.145833333333333,0.5300622784340141,0.4613031517933146
human_pq,German,,2.245554614733277,11.0,2.94647201946472,1.402009575148905,5.583333333333335,0.531971899183461,0.4644961046810401
human_whq,German,,1.856637168141593,9.0,2.6586206896551725,0.986026276771094,5.0588235294117645,0.3912825132333389,0.4649744344145154
large,German,,2.132391566692696,10.0,4.074618096357227,1.905154257249878,5.322580645161289,0.423126443072634,0.3828871521065644
large_cq,German,,2.1108843537414965,10.0,4.148674242424242,1.8812977522076029,4.705882352941176,0.4243314425551286,0.382595722273224
large_general,German,,2.132391566692696,10.0,4.074618096357227,1.905154257249878,5.322580645161289,0.423126443072634,0.3828871521065644
large_general_cq,German,,2.1108843537414965,10.0,4.148674242424242,1.8812977522076029,4.705882352941176,0.4243314425551286,0.382595722273224
large_general_pq,German,,2.175813568670712,10.0,4.105504587155964,1.95494872323974,5.322580645161289,0.429666617933326,0.3834837731272175
large_general_whq,German,,2.0416494845360824,9.0,3.8559602649006623,1.8030862450616707,5.000000000000001,0.4021354755054792,0.3815471241614895
large_pq,German,,2.175813568670712,10.0,4.105504587155964,1.95494872323974,5.322580645161289,0.429666617933326,0.3834837731272175
large_whq,German,,2.0416494845360824,9.0,3.8559602649006623,1.8030862450616707,5.000000000000001,0.4021354755054792,0.3815471241614895
medium,German,,2.119757733700111,90.0,4.293698630136986,2.0835457412230203,42.22580645161289,0.6654655758127003,0.3933420635019253
medium_biomedical,German,,2.176712692511949,13.0,4.1891061452513965,2.0597636365270104,7.809523809523809,0.5161646633170863,0.4016354255646598
medium_biomedical_cq,German,,2.157291445552961,13.0,4.147413793103448,2.032442525079908,7.809523809523809,0.5171323377380831,0.4081726642250738
medium_biomedical_pq,German,,2.203969704883782,13.0,4.292263610315186,2.116052292611868,7.76,0.5117003843498424,0.3941219553471185
medium_biomedical_whq,German,,2.1332096474953617,11.0,3.994074074074074,1.9611988726908056,6.5925925925925934,0.5260426847533595,0.4117960578869615
medium_cq,German,,2.099011842208454,58.0,4.287289915966387,2.0614321842392025,24.5,0.4853899786696828,0.3942864264509478
medium_general,German,,2.1071070480684164,90.0,4.31922290388548,2.0893494177609697,42.22580645161289,0.7019002906548472,0.3913914180219187
medium_general_cq,German,,2.085806358520513,58.0,4.322934973637961,2.068819707223557,24.5,0.477300976798122,0.3909662204073453
medium_general_pq,German,,2.1406906736339884,90.0,4.372459893048128,2.135559036389948,42.08,0.6341126097075118,0.3898195849107049
medium_general_whq,German,,2.0445121435220446,86.0,4.161865049279758,1.99374793748104,42.22580645161289,1.28166827024616,0.3970667474822881
medium_pq,German,,2.151994401679496,90.0,4.357289972899729,2.1318691428514382,42.08,0.610957126428473,0.3906223904611171
medium_whq,German,,2.06098401323043,86.0,4.127678840929671,1.987116298865462,42.22580645161289,1.1277149740772374,0.399976088651899
